Year,Age,bachelor_debt,masters,bachelor_layoffs,no_college
2006,18,,"23,158.00",,
2007,19,,"24,429.00",,
2008,20,,"15,391.00",,
2009,21,,"19,463.00",,
2010,22,"-12,911.00","22,394.00","9,390.00","2,782.00"
2011,23,"-4,395.00","22,866.00","19,290.00","5,715.00"
2012,24,"6,723.00","26,525.00","32,404.00","9,600.00"
2013,25,"23,958.00","54,244.00","53,260.00","15,779.00"
2014,26,"39,165.00","81,435.00","71,259.00","21,111.00"
2015,27,"49,932.00","125,719.00","83,306.00","24,680.00"
2016,28,"68,147.00","161,681.00","104,703.00","31,019.00"
2017,29,"96,940.00","211,013.00","139,375.00","41,291.00"
2018,30,"103,564.00","235,466.00","145,479.00","43,099.00"
2019,31,"151,543.00","313,974.00","203,907.00","60,409.00"
2020,32,"193,607.00","352,580.00","228,636.00","75,387.00"
2021,33,"264,423.00","453,331.00","281,061.00","107,094.00"
2022,34,"229,014.00","425,547.00","244,083.00","107,344.00"
2023,35,"304,480.00","541,697.00","322,177.00","135,305.00"
2024,36,"406,901.00","696,660.00","420,070.00","169,516.00"
2025,37,"507,876.00","852,261.00","517,937.00","203,820.00"
2026,38,"477,534.00","827,063.00","503,526.00","205,186.00"
2027,39,"437,161.00","787,586.00","480,633.00","204,147.00"
2028,40,"357,501.00","691,844.00","423,684.00","193,171.00"
2029,41,"477,551.00","882,634.00","541,673.00","233,804.00"
2030,42,"547,612.00","1,002,671.00","616,541.00","261,834.00"
2031,43,"593,207.00","1,087,976.00","670,446.00","283,782.00"
2032,44,"706,205.00","1,274,015.00","784,863.00","323,656.00"
2033,45,"764,952.00","1,380,656.00","851,715.00","349,603.00"
2034,46,"502,563.00","1,006,340.00","631,936.00","291,136.00"
2035,47,"656,873.00","1,259,829.00","786,109.00","343,008.00"
2036,48,"777,842.00","1,464,495.00","911,247.00","386,405.00"
2037,49,"817,034.00","1,545,185.00","963,290.00","408,325.00"
2038,50,"981,299.00","1,854,254.00","1,120,493.00","461,344.00"
2039,51,"1,323,466.00","2,417,485.00","1,446,718.00","564,309.00"
2040,52,"1,529,785.00","2,766,800.00","1,651,675.00","631,568.00"
2041,53,"1,576,872.00","2,863,596.00","1,713,753.00","656,732.00"
2042,54,"1,792,308.00","3,230,342.00","1,929,155.00","727,203.00"
2043,55,"2,211,307.00","3,924,725.00","2,330,334.00","852,558.00"
2044,56,"2,143,115.00","3,838,751.00","2,290,414.00","847,779.00"
2045,57,"2,847,602.00","4,987,039.00","2,954,046.00","1,050,697.00"
2046,58,"3,402,169.00","5,895,804.00","3,482,847.00","1,213,856.00"
2047,59,"4,410,561.00","7,538,311.00","4,426,666.00","1,499,550.00"
2048,60,"3,644,493.00","6,316,836.00","3,754,242.00","1,308,167.00"
2049,61,"4,636,407.00","7,937,163.00","4,686,745.00","1,590,556.00"
2050,62,"5,996,394.00","10,155,383.00","5,957,268.00","1,972,730.00"
2051,63,"7,294,103.00","12,274,886.00","7,172,888.00","2,330,854.00"
2052,64,"6,667,611.00","11,276,489.00","6,631,381.00","2,170,000.00"
2053,65,"5,913,347.00","10,070,395.00","5,955,424.00","1,974,724.00"